Date,Open,High,Low,Close,Volume (BTC)
2013-03-31,93.25,100.0,93.03,93.1,390.82722436
2013-04-01,93.17,105.9,92.49999,102.37,4919.65412719
2013-04-02,102.8,118.3880667,99.0,117.98999,9084.83281599
2013-04-03,116.57909668,146.88,101.51088,134.95296889,12909.4021782
2013-04-04,131.77968624,143.0,119.0,132.681,6910.10041356
2013-04-05,132.75,145.0,131.503,140.0,4838.18497166
2013-04-06,141.0,144.0,140.902,143.99,2170.75030334
2013-04-07,144.0,174.4,143.501,174.4,3735.13031718
2013-04-08,172.51,200.0,166.693,194.5,10616.2750734
2013-04-09,190.51,249.97,188.898,233.115,6188.91889419
2013-04-10,233.49,290.0,19.9,170.986,17906.04222
2013-04-11,169.005,188.0,1.06,120.0,15024.7817226
2013-04-12,111.0,157.0,51.0,114.71,43253.493253
2013-04-13,112.974,123.878,81.12,97.599,19843.7279755
2013-04-14,98.771,109.0,20.0,95.0,16732.6849586
2013-04-15,95.0,104.0,71.497,78.001,16361.2300091
2013-04-16,77.502,82.5,0.01,70.11,26137.5843832
2013-04-17,70.304,98.9,70.095,91.797,20450.7643154
2013-04-18,89.99,114.28,88.839,114.28,8005.04806451
2013-04-19,114.07,142.0,110.0,116.95,21905.835369
2013-04-20,116.401,132.0,115.0,126.0,4621.18409625
2013-04-21,126.0,129.45,110.0,121.0,11580.9859785
2013-04-22,121.8,129.75,120.0,127.596,8104.99347643
2013-04-23,127.612,145.9,126.5,145.9,11532.9540068
2013-04-24,144.34,166.99,140.9,154.1,24751.6345533
2013-04-25,154.03,169.13,120.03,136.4,22857.3286784
2013-04-26,135.87,139.189,13.0,134.7,12185.6941218
2013-04-27,136.0,147.51,121.46,131.0,8035.49033221
2013-04-28,131.05,136.99,129.55,135.81,6799.44134959
2013-04-29,135.928,148.5,113.42,144.21,10304.7358207
2013-04-30,144.21,146.6752,133.89,139.88,10218.268463
2013-05-01,139.88,139.88,105.0,113.2,24644.3821551
2013-05-02,113.5,127.18,90.414,104.41,29828.2668917
2013-05-03,104.73,104.73,80.0,95.49,32834.4996873
2013-05-04,95.0,116.13,94.46,114.8,15641.3628946
2013-05-05,114.94,126.0,100.0,116.89,12094.6989477
2013-05-06,116.94,124.3,106.0,110.0,12864.6275131
2013-05-07,108.9,113.7,98.0,113.49,15143.6769672
2013-05-08,113.7,116.98,108.23,110.12,9113.31916394
2013-05-09,109.37,113.298,108.9,112.5,2840.8837353
2013-05-10,112.1,122.5,111.4,118.38,7728.14475674
2013-05-11,118.38,118.9,112.72,115.02,3704.98821061
2013-05-12,115.5,118.0,113.0,116.0,2785.58034464
2013-05-13,116.35,118.97,114.07,117.2,2518.94055761
2013-05-14,117.5,119.85,103.45,106.65,13190.2318947
2013-05-15,106.5,117.0,104.1,110.96,6340.10415431
